,Win Today,Place Today,Unplace Today,WIN NEXT START,WIN 2nd START,WIN 3rd START,WIN 4th START,PLACE NEXT START,PLACE 2nd START,PLACE 3rd START,PLACE 4th START
##,-0.016685938498293622,-0.006631236865814318,0.006631236866377134,0.0020451882324955726,-0.03926621919670577,0.07124606668680217,-0.2584866507817117,0.022371874697447183,-0.018145616774949195,0.03778344525561113,-0.038056297997061825
#.1,-0.27865391158221553,-0.0013235326494517368,0.0013235326396428748,0.0552059724926296,0.0735723636294447,0.08075659067174171,0.06986760833858566,0.0556605404373154,0.12173075235166213,0.09039381228502337,0.10241016462134071
1st Up,-0.021320238813102122,-0.16548066370988576,0.16548066370722264,-0.028496755678930494,-0.03021360019918938,0.013753469076012097,0.26569029654722803,-0.03862167011072861,-0.06611263144488787,-0.13340685611826736,-0.0733649618195826
3 races within 30 days,-0.2466606613889434,0.11823991587629784,-0.11823991586962843,-0.27187166010585195,-0.25506801850498145,-0.034538294148212335,0.025979758303520725,0.01059709301128866,-0.004681722456003925,0.008469096402028904,0.029524478918686287
4 Lengths Gain Last Furlong,0.5176349728423559,0.09652188567711197,-0.09652188566855964,-0.04577896807404334,0.08601881421740362,-0.11654186262898864,0.009282372721363489,-0.04241902502113363,0.009919337681395435,-0.015984410191158115,-0.02639627381186368
ACCELERATION,-0.05111234921378958,0.08297062816634641,-0.0829706281578849,-0.10274599864648096,-0.020151035836524122,-0.00029950397450340734,0.025850387520398074,-0.037730307339792116,-0.11993261994604644,-0.030488576057758513,-0.06300361745610493
AVERAGE 200,-0.0990239534200829,0.12657682965721367,-0.12657682965494285,-0.0241685863937479,0.017572113464041514,-0.009041652508115665,-0.19597330164195828,0.014288996751474565,-0.01588239958353457,-0.004695438140141324,-0.054523954440112106
BO3/3P,0.7426235654376573,0.5254284923293943,-0.52542849232115,0.06713566671480681,-0.06287677837754106,0.05485676756366339,0.004957072736240915,-0.003943909620340188,-0.017680487168909548,-0.05519547055319966,-0.0164163718808571
BO3/3T,-0.21717536012008948,-0.13692724113724758,0.13692724114878274,0.1627233902396377,0.014887371437598221,0.008423869591990284,-0.20666738119619088,0.05644753697306167,0.01457199251267788,-0.05259628232768996,-0.041187560624145726
BO5/**.1,0.3848922479042156,0.2616241024564881,-0.26162410245412715,0.042542546705792744,0.08007387579068646,-0.049516191100159146,-0.11281093330037364,-0.012059663092488687,0.014373718202090683,-0.05713244538644402,-0.10047897601419839
BO5/*.1,0.942903833588439,0.8067211256697664,-0.8067211256625451,0.004914900171037597,0.13378496667810771,-0.07743578203195996,-0.25491930063998697,-0.1170549360284451,-0.0376188701678488,-0.13791117315127524,-0.24927729559988465
Capable Distance,-0.376679944212972,-0.036588909690058895,0.03658890968243789,-0.20759555940509733,-0.0995926341462266,-0.0254497891083984,-0.052682512045691805,-0.07026596014668898,-0.10166891863962432,0.004092962521151572,0.0036607740032898405
Class 2,-0.13869513355832613,-0.2694796221812459,0.2694796221818791,-0.19066645259980125,-0.13934714603343404,-0.23335895125129785,-0.24234061593121614,-0.042627995329470536,0.021147559328454628,-0.018330148686003096,-0.052477065162601186
Class 4,0.07708224367118019,0.17491790364494514,-0.1749179036438596,0.09799801507568488,0.03997791779728448,0.16810382731376977,0.11162374567916944,0.02986447094630392,-0.05230365357104091,-0.010608621751498673,-0.02270430367696296
Class 5,0.25108623655494383,0.18737830278315584,-0.18737830278378442,0.2073098021545522,0.10716472936404468,0.2904059090514996,0.2627599610667381,0.03151643736284829,-0.05598698135654787,-0.047807373181164986,-0.04538579192020365
Class Group,-0.16528031259591092,-0.16857550253424397,0.16857550253034828,-0.15346937223464543,0.025181828338383686,-0.20240250709560376,-0.15863416083310214,-0.016045109366945122,0.12749874951877885,0.07669894052185382,0.05169138634730415
Distance,-0.11749459481056371,0.03638663855280776,-0.03638663854819281,0.10404403965216134,0.07802811375701042,0.1684100669823282,0.024231416332265315,0.2007547467917754,0.030802537420918305,-0.05547219892501276,-0.12644656139644234
ELITE 200,0.029310256274172285,-0.2204758243865059,0.2204758243862975,0.0894529059190047,0.09013576463245303,0.006264166486616967,0.26815592503532154,0.006156260428005993,0.056854331877541936,0.12420320329310953,0.1541803992669833
ELITE 600,-0.2287620697532873,0.08867217348731642,-0.08867217347479776,-0.10936331886617064,-0.06849249317115604,-0.07559061691100427,-0.1874330088369131,0.13703030184295528,-0.17106434974593646,-0.06952250500077704,-0.05154011982228464
ELITE BURST,0.82084726803298,1.242114678155861,-1.2421146781512775,0.25584294789794915,0.12132526717445782,-0.10838392300005362,-0.009373146980494972,0.09635151101004213,0.08999596938130132,0.01316883380672471,0.06809143553103136
ELITE CLOSER,0.3477203630952498,0.15183741208411736,-0.15183741210344265,-0.19451862792460112,0.1960674881573954,0.25742122835410913,-0.05889992362975832,0.01922064407627463,0.14732012410720946,0.10433526705869595,-0.028609111924081776
Early Profile,1.256747009769971,0.8959139298201219,-0.8959139298424381,0.050536225001307236,0.06225834568524872,0.02223030506866388,0.1212919296479185,0.09658434005882024,0.1019453138004095,0.03831286171062492,0.011514714499025136
FAST EARLY,-0.07819824155905401,-0.002019635480744783,0.0020196354887998657,0.15084561219172848,0.10090416409223112,0.014139468192401803,-0.057288773959959564,0.13500003704227317,0.0772044818074903,0.14088058216618632,0.055844988643578675
FAST FAST,0.10275375029772435,-0.06398851218175569,0.06398851216704306,-0.21189962536824536,-0.08200804681418115,0.1095028441386955,-0.09713984610051692,-0.10142150683492769,-0.057416384131773884,-0.12142170448345313,-0.07476509106670412
FFA,-0.516900897088875,-0.153313725304683,0.15331372529895054,0.033257775992600665,0.03367540472096225,-0.2673436736297554,0.050007845588755054,-0.07294320227242003,0.0668842855889848,-0.14585088301749094,-0.1254618056511231
G*,-0.2764771795629553,0.7369888471432071,-0.7369888471399108,0.029862381455615275,0.005244463864982319,0.04572452654169488,-0.006655476870872483,0.014090483343914864,0.020329902975853607,0.07398056626085991,0.07746988073387907
G*.1,-0.44354620402822953,0.800795866191558,-0.8007958661847964,0.018311263462309102,0.057049914646063356,0.06810260163275429,0.14133916543755654,0.06854844425828108,0.040976967316114075,0.06598274071489028,0.12341072924304314
G.2,-0.5190333890428,0.8492602074648776,-0.8492602074587259,0.003926384855512652,0.004456536279952495,0.11700859590508703,0.06767772387289189,0.015978514047302234,-0.0042499128943632464,0.08891139592457249,0.06127759040373977
G.3,-0.4600121704244529,0.8461289438364333,-0.8461289438360996,-0.01409338926806386,0.00937296173530051,0.02009143368771726,0.10185980230264807,0.03881282036519751,-0.044951649800341595,0.05197336623694509,0.09682056782753684
GOOD 600,-0.06015118582557448,0.09707371822014581,-0.09707371822101242,-0.06381036898154109,-0.06620052826521386,0.0050747349939587955,-0.11747592274981751,0.09878212762156655,-0.07796349556855736,0.010440308075755036,-6.22474085689657e-05
GR*,-0.19842079669659127,0.843574047830252,-0.8435740478157927,-0.051029466896385184,0.08545086004953929,0.012213469040050998,0.048480334832370436,0.017495404726769012,-0.0017569801794809522,0.03646591626978037,0.016645955918291253
GR.1,-0.4695597659914872,1.1910421117581849,-1.1910421117511958,-0.04438124365083384,0.005172829491136495,0.013719548983922128,0.06659468309719262,0.023432944277439832,-0.005174676107462635,0.009032927227252777,0.06222114117573428
Good,0.09052360280893763,-0.08568729403462415,0.08568729403329212,0.530538538826856,-0.35475632966886705,0.22342123598338057,0.5421891815822003,0.10672912379821616,0.09768965312012769,0.3415454969365915,0.46844776593045934
Good to Firm,0.05075496968185404,-0.1511662207350317,0.15116622073671615,0.4679157203660007,-0.4178094375393355,0.05910954598291745,0.32398657883220844,0.09534442948789512,-0.0043581382156459,0.18383591698970977,0.22743063490569276
