Feature,Coefficient,Abs_Coefficient
S/SS***,1.0866637573743838,1.0866637573743838
Soft,0.9448177847713328,0.9448177847713328
Yielding,0.8451537201095581,0.8451537201095581
Lay P Fast,-0.8270198807889793,0.8270198807889793
S/FN***,-0.731873119655409,0.731873119655409
TMP/***,-0.7260576175906115,0.7260576175906115
TMP/**.1,0.5447457025621958,0.5447457025621958
ACCELERATION,-0.521332451677153,0.521332451677153
Outside Barrier,-0.517861237179351,0.517861237179351
Wants Longer,0.510203623913364,0.510203623913364
Inside Barrier,-0.5097321767510409,0.5097321767510409
ELITE 600,-0.5042086428737588,0.5042086428737588
WPP/***,0.47510063231615757,0.47510063231615757
Sustain Profile,-0.46035779226535334,0.46035779226535334
G*.1,0.4423338970914847,0.4423338970914847
#.1,0.43556035719690056,0.43556035719690056
S/SS*,-0.43477927331654564,0.43477927331654564
GOOD 600,-0.43318152400325177,0.43318152400325177
Middle Barrier,-0.4306679546246411,0.4306679546246411
UPC/*,0.4206850851676744,0.4206850851676744
FAST FAST PACE,-0.4087583748476809,0.4087583748476809
3 Lengths Gain Last Furlong,-0.40257009403742733,0.40257009403742733
Class GF,-0.402385633773723,0.402385633773723
Lay P Slow,-0.3883856166808213,0.3883856166808213
FAKE CLOSER LAY,0.3661723690810897,0.3661723690810897
Early Profile,0.36033575113549804,0.36033575113549804
West Slow,0.3542736050381893,0.3542736050381893
FF/$$$,-0.35355411016120825,0.35355411016120825
BO5/*,-0.3378193322588102,0.3378193322588102
Good Run in 3,0.33539615152735175,0.33539615152735175
