Feature,Coefficient,Abs_Coefficient
S/FF*,-0.8086471780105744,0.8086471780105744
WPP/***,0.7723764841076179,0.7723764841076179
##,0.714496907055815,0.714496907055815
NM/$$$,-0.6400896026807592,0.6400896026807592
Lay P Fast,-0.5770668439436821,0.5770668439436821
Soft,0.5445715369243825,0.5445715369243825
BO5/***,0.5305036116152501,0.5305036116152501
G*.1,0.5294700396827966,0.5294700396827966
S/SS***,0.5073967085398079,0.5073967085398079
S/FN*,-0.5042843770332238,0.5042843770332238
SLOW SETUP,-0.4937309080765908,0.4937309080765908
G*,0.48096945284788856,0.48096945284788856
UPC/***,0.47529996981149153,0.47529996981149153
SW/$$,0.4352829149449365,0.4352829149449365
RECENCY 1-7,-0.4256109926085678,0.4256109926085678
Winner by 2 length,-0.4254722441213158,0.4254722441213158
Yielding,0.42464731088875823,0.42464731088875823
Lay S Slow,0.4166969236861947,0.4166969236861947
MGT >= 3,0.40018740902022243,0.40018740902022243
#.1,0.39395192966459747,0.39395192966459747
S/NF*,0.38390059192514775,0.38390059192514775
TMP/***,0.37599325413389634,0.37599325413389634
RECENCY 30-37,-0.3725806672376788,0.3725806672376788
42/WP@,-0.3708799629234633,0.3708799629234633
RECENCY 8-15,-0.36717566443780525,0.36717566443780525
G.2,0.3554008803344363,0.3554008803344363
S/SS*,-0.35295815900195787,0.35295815900195787
%,0.3465252823941302,0.3465252823941302
UPC/*,0.3442168747572777,0.3442168747572777
3 Lengths Gain Last Furlong,-0.3389270498642449,0.3389270498642449
