Feature,Coefficient,Abs_Coefficient
FF/$$$,-1.393177633324786,1.393177633324786
S/SS***,1.375217692204902,1.375217692204902
Make up position Stretch >= 8,0.8376333607778945,0.8376333607778945
FAKE CLOSER LAY,0.8150855321802611,0.8150855321802611
S/SS**,0.7332198393609434,0.7332198393609434
Lay E Slow,-0.725118247247149,0.725118247247149
Make up position Stretch >= 5,0.7194000164673393,0.7194000164673393
NM/$$$,0.6478307849542292,0.6478307849542292
Outside Barrier,-0.6328712061831109,0.6328712061831109
G*.1,0.6320419998946357,0.6320419998946357
WPP/***,0.6300074788634106,0.6300074788634106
RECENCY 46-50,-0.5804536554680747,0.5804536554680747
Inside Barrier,-0.580022860490519,0.580022860490519
iZ/iZ,-0.5694060905482214,0.5694060905482214
Middle Barrier,-0.5674314168394049,0.5674314168394049
Make up position Stretch >= 9,0.5343935761673813,0.5343935761673813
Winner by 2 length,-0.5329463144167147,0.5329463144167147
S/FF**,0.49534177434938637,0.49534177434938637
##,-0.4684498293116082,0.4684498293116082
TMP/***,-0.440962482894995,0.440962482894995
WPP/***.1,0.4376795432229312,0.4376795432229312
G*,0.42984841455352873,0.42984841455352873
S/FN*,-0.42981353498171443,0.42981353498171443
S/NF*,-0.42776442299761874,0.42776442299761874
RECENCY 1-7,-0.42757739857893895,0.42757739857893895
3 Lengths Gain Last Furlong,-0.4162287041538986,0.4162287041538986
Yielding,0.40918123252598576,0.40918123252598576
S/SS*,0.4066641941037661,0.4066641941037661
Make up position Stretch >= 7,0.4026950935183177,0.4026950935183177
S/FN**,-0.39938536150207127,0.39938536150207127
