Feature,Coefficient,Abs_Coefficient
S/FF*,-0.9134508850434331,0.9134508850434331
SW/$$,-0.8751644309882871,0.8751644309882871
##,0.7844277713504443,0.7844277713504443
Yielding,0.7666279718834462,0.7666279718834462
S/SS*,0.7524222030926883,0.7524222030926883
Lay P Fast,-0.6876938928969177,0.6876938928969177
G*.1,0.6759703986926481,0.6759703986926481
3 races within 30 days,0.6600422407977853,0.6600422407977853
S/SS***,0.6527153982917014,0.6527153982917014
TMP/**.1,-0.5993240943943015,0.5993240943943015
FAST SETUP,0.5968232064000342,0.5968232064000342
WPP/**,0.5936937069061752,0.5936937069061752
Soft,0.5883167810010557,0.5883167810010557
BO5/***,-0.5829281322144767,0.5829281322144767
SW/$$$,0.5381783315899783,0.5381783315899783
S/FN**,-0.5134149418889775,0.5134149418889775
Sustain Profile,-0.5090034343358492,0.5090034343358492
FAST EARLY,0.49997894517241853,0.49997894517241853
FAST FAST,-0.49446304922853834,0.49446304922853834
Make up position Stretch >= 9,0.47942229345484494,0.47942229345484494
Early Profile,0.47827780015193205,0.47827780015193205
FF/$$$,-0.46528205572142944,0.46528205572142944
SLOW SETUP,-0.4396613075709803,0.4396613075709803
BURST INDEX & L200,-0.4313304093067154,0.4313304093067154
FAKE CLOSER LAY,0.42156613296722945,0.42156613296722945
UPC/***,0.38947455412475385,0.38947455412475385
WPP/***,-0.37729185905979445,0.37729185905979445
Good Run in 3,0.3756832209364147,0.3756832209364147
S/FN***,-0.36417535172910376,0.36417535172910376
Collapse Closer,-0.35418041945553963,0.35418041945553963
