Feature,Coefficient,Abs_Coefficient
Lay EP Slow,-1.42101235028881,1.42101235028881
Lay E Slow,-1.2605058304159482,1.2605058304159482
S/SS***,0.9064968286958508,0.9064968286958508
S/NF*,-0.8532970042323916,0.8532970042323916
TMP/**.1,0.8265152450778699,0.8265152450778699
FAKE CLOSER LAY,-0.752913043251125,0.752913043251125
TMP/***,-0.7304317081769742,0.7304317081769742
West Slow,-0.7149350877672992,0.7149350877672992
SYMMETRY BURST,0.690286195517045,0.690286195517045
WPP/**,0.6391400741988011,0.6391400741988011
BO5/***,0.6217575831702634,0.6217575831702634
TMP/***.1,0.6011431194995692,0.6011431194995692
G*.1,0.5985935887523482,0.5985935887523482
Collapse Closer,0.5945323174727895,0.5945323174727895
S/FN***,-0.5706034380557414,0.5706034380557414
S/SS**,0.5683322338251949,0.5683322338251949
Yielding,0.5428761876500601,0.5428761876500601
S/FF***,0.525889403796285,0.525889403796285
STRONG 400_200,-0.5020045350641651,0.5020045350641651
TMP/**,-0.48902176019949944,0.48902176019949944
ACCELERATION,-0.4801538493272972,0.4801538493272972
iZ/Z,-0.4797684156683302,0.4797684156683302
WPP/*.1,0.47829235447505547,0.47829235447505547
SYMMETRY SUSTAINED,-0.4676995716727264,0.4676995716727264
FAST FAST PACE,-0.45856076405486396,0.45856076405486396
RECENCY 1-7,-0.44836640274903816,0.44836640274903816
S/FF**,0.4465232214695595,0.4465232214695595
42/WP@,-0.41931263809493097,0.41931263809493097
SW/$$$,-0.4074445835736502,0.4074445835736502
SW/$$,0.40495381244897166,0.40495381244897166
