Feature,Coefficient,Abs_Coefficient
S/FF*,-1.7257646737685923,1.7257646737685923
Lay P Fast,-1.4139204722940328,1.4139204722940328
3 races within 30 days,-1.3677253228132937,1.3677253228132937
##,1.1024553922035074,1.1024553922035074
S/FN**,-1.0520106912487306,1.0520106912487306
TMP/***,-1.0417032751688076,1.0417032751688076
WPP/***,0.9382924424020108,0.9382924424020108
UPC/***,0.8963846456860521,0.8963846456860521
SM <= -4,-0.843635370628515,0.843635370628515
SM <= -2,-0.7446523021645527,0.7446523021645527
UPC/*,0.7312008178458729,0.7312008178458729
FAST SETUP,-0.7171932984182445,0.7171932984182445
SLOW SLOW,-0.6588635600297283,0.6588635600297283
NM/$$,-0.6357255291464006,0.6357255291464006
S/FF**,0.6279360727590193,0.6279360727590193
Collapse Closer,-0.6192368008481217,0.6192368008481217
SM <= -3,-0.5983066824485476,0.5983066824485476
Yielding,0.5950027009084409,0.5950027009084409
ELITE BURST,-0.5921948289259681,0.5921948289259681
FAKE CLOSER LAY,-0.582975087495851,0.582975087495851
PPS/**,-0.5819082384599883,0.5819082384599883
FF/$$,-0.5819082384599883,0.5819082384599883
BO5/*,-0.5775087329894578,0.5775087329894578
BO5/***.1,0.5723708698333881,0.5723708698333881
42/WP@,-0.5682350179683543,0.5682350179683543
S/NF*,-0.5309856634799925,0.5309856634799925
SW/$$$,0.5249954481004635,0.5249954481004635
Lay S Slow,0.5240354952946428,0.5240354952946428
BURST INDEX & L200,0.5220291571410788,0.5220291571410788
TMP/**.1,-0.5209488824113762,0.5209488824113762
