Feature,Coefficient,Abs_Coefficient
SW/$$$,-1.613115573153914,1.613115573153914
##,-1.1968093879198296,1.1968093879198296
Inside Barrier,-1.148735926953953,1.148735926953953
WPP/***,1.1331029550976703,1.1331029550976703
iZ/iZ,-1.0693823985373179,1.0693823985373179
Outside Barrier,-1.0184719518477634,1.0184719518477634
Middle Barrier,-0.9709938766069913,0.9709938766069913
BO5/***.1,-0.8739962450222514,0.8739962450222514
Lay S Slow,-0.8222321858642655,0.8222321858642655
G*.1,0.8115694572172947,0.8115694572172947
FAST FAST,-0.8105029054113635,0.8105029054113635
TMP/***,-0.7745529584769535,0.7745529584769535
Lay P Fast,0.7688481432664779,0.7688481432664779
S/FF**,0.7420610019366134,0.7420610019366134
SW/$$,0.7391193281316704,0.7391193281316704
Soft,0.7202475532005838,0.7202475532005838
Lay S Fast,0.7156285821750551,0.7156285821750551
1st Up,0.7078527894140043,0.7078527894140043
MGT <= -2,0.7048906364777061,0.7048906364777061
UPC/E***,0.675183281802832,0.675183281802832
RECENCY 46-50,-0.6744666852643787,0.6744666852643787
iZ/Z,-0.6672282171354629,0.6672282171354629
BO5/**,-0.6417408467466504,0.6417408467466504
Good,0.6227136703469683,0.6227136703469683
WEAK 200,-0.6093404235064191,0.6093404235064191
Make up position Stretch >= 5,0.5970475545858979,0.5970475545858979
Make up position Stretch >= 6,0.5736976760016185,0.5736976760016185
G.3,0.5567798706148788,0.5567798706148788
3 races within 30 days,0.5464932852861137,0.5464932852861137
RECENCY 16-22,0.5389567712215777,0.5389567712215777
