Feature,Coefficient,Abs_Coefficient
SW/$$,-1.7273083777232676,1.7273083777232676
SW/$$$,1.2531416960497899,1.2531416960497899
S/SS**,0.9323139473937657,0.9323139473937657
TMP/***.1,-0.9115914020560582,0.9115914020560582
SLOW SETUP,-0.8780284961112236,0.8780284961112236
S/SS*,0.8460033353273044,0.8460033353273044
S/FF*,-0.817589922815386,0.817589922815386
Lay S Slow,0.7685761787800651,0.7685761787800651
Make up position Stretch >= 6,0.7637846350063519,0.7637846350063519
Make up position Stretch >= 8,0.762131857259663,0.762131857259663
iZ/Z,0.7503359333252602,0.7503359333252602
WPP/**,0.7097657856510284,0.7097657856510284
Yielding,0.6959475853849717,0.6959475853849717
ELITE 600,-0.6515101393908261,0.6515101393908261
GOOD 600,-0.6506833206197635,0.6506833206197635
Make up position Stretch >= 9,0.6129968204663325,0.6129968204663325
G*.1,0.5868977688633663,0.5868977688633663
H62 => PAR,0.58207704213778,0.58207704213778
PPS/*,-0.5735617540970496,0.5735617540970496
WPP/***,0.5596453704756548,0.5596453704756548
S/FN***,-0.5505423799142927,0.5505423799142927
Sustain Profile,-0.5450574662038896,0.5450574662038896
Make up position Stretch >= 5,0.5410593711435853,0.5410593711435853
3 Lengths Gain Last Furlong,-0.5277648377844723,0.5277648377844723
FAST FAST,-0.5155069380472787,0.5155069380472787
Winner by 2 length,0.4967945715929338,0.4967945715929338
Early Profile,0.4832063296433536,0.4832063296433536
Lay S Fast,0.48139095480655386,0.48139095480655386
Make up position Stretch >= 4,0.47843670744900435,0.47843670744900435
S/FF**,0.4750390029859856,0.4750390029859856
