Feature,Coefficient
MR,0.32676188434331577
POOR BURST,-0.2761657951211593
W,0.269234918711029
Outside Barrier,-0.26827424842281766
Make up position Stretch >= 6,0.2513280361834697
HW,0.24742083936399353
Capable Distance,-0.24234162693988398
Make up position Stretch >= 5,0.23849718024398642
BO5/*.1,-0.22831173530975213
ELITE CLOSER,-0.22711529355093174
Early Profile,0.22458784964569367
Sustain Profile,-0.19841219792339526
ELITE BURST,0.1891585979409246
Middle Barrier,-0.18892623916401688
Good,-0.18808945914405822
Ran On Well,-0.17973378523060649
Make up position Stretch >= 9,0.17892910845469764
Good to Firm,-0.17453680100197747
POOR CLOSER,0.167566440114349
Lay S Slow,0.16519363519345423
Inside Barrier,-0.1588443752840422
Make up position Stretch >= 7,0.15785306067974073
Make up position Stretch >= 8,0.15434037103734122
H200 => PAR,-0.1513513169984217
Proven Class,-0.1451057873083113
ELITE 600,-0.14232665570709846
Good Run in 3,0.13837358425835075
FAST EARLY,0.1340906226559467
RECENCY 30-37,0.13207225763839017
RECENCY 16-22,0.13173559914521665
1st Up,0.1279644541990569
Capable Class,0.12389807472673825
SPW,-0.12207605049755237
WEAK 400_200,-0.11482264943678061
RECENCY 23-29,0.11425349009065694
H42 => WINNER,-0.11367569451893772
Distance,0.11242248548542247
FAST FAST PACE,-0.1113869183102332
BO3/3T,0.10971807455448855
GOOD BURST,0.10953540989278372
GOOD 600,-0.10699269816072925
SYMMETRY WEAK,0.10494080139192852
H200 => WINNER,0.09958413300096708
POOR 400,-0.09891416116815824
FAST FAST,-0.09740938023417293
Make up position Stretch >= 1,-0.09704346394825976
Make up position Stretch <= -4,-0.09383496437907068
Make up position Mid race >= 2,0.09370850333290719
STRONG BURST,0.09319092998445357
H62 => PAR,0.09286960329497532
POOR 400_200,-0.09186018254898391
SW/$$,-0.09158434349894974
West Slow,-0.09104678808872803
BURST INDEX & L200,-0.08942681147498453
*.1,0.08798900129052471
SM >= 4,0.08785212742372635
UPC/E*,0.08752359988669786
BO5/**,-0.08712175718255946
FAST 2nd Call,0.08709092154088693
SLOW SETUP,-0.08574596934743173
Class 5,0.08538600641792138
HFFA,-0.08424697323170113
WIDE > 2,-0.08092842508452693
Make up position Mid race >= 3,0.08021695789386128
MGT <= -1,-0.07948475970828599
MGT <= -2,-0.07800431722299195
S/FN***,-0.07713821900943596
4th Up,0.07673268487341676
OK BURST,-0.0762753552359293
UP 1-2,0.07493095778852561
S/FN**,-0.0742297794032907
Make up position Stretch >= 4,0.07377484053310403
Stretch Move 5,0.073471596678505
POOR 200,-0.07298800756036557
MGT,-0.07216256965812012
BO5/*,-0.07033855695805905
STRONG CLOSER,-0.0700862798398868
S/FF**,0.06987692074825685
L200 - L(400-200),0.06978472556447164
Class 2,-0.06880553901422447
Yielding,0.06668214287217983
ELITE 200,0.0664495502123417
iZ/Z,0.06610858183869288
WEAK 200,-0.06557316451269497
G*,0.06543362765473384
Winner by 1 length,0.06473475360541704
SYMMETRY LATE RALLY,0.06440259690984196
Proven Distance,0.06439181667928136
G.3,0.06355774959560695
Winner by 2 length,0.06338199611012371
BO5/***.1,-0.06254714086154002
Make up position Mid race >= 1,0.06153020804684844
HL600,-0.061467230383637696
Last Race Longer Distance,-0.05968305304600278
BO5/**.1,-0.058914110482061736
SW/$,-0.058914110482061736
Stretch Move 3,0.05889310571253136
SM >= 3,0.05889310571253136
Make up position Stretch >= 2,-0.05879228414809239
PPS/*,-0.057338813645506026
TMP/***.1,-0.05681412268352916
UP 2-3,0.05653382547534987
BO5/***,-0.055586258415809865
FAST SETUP,0.05451556460994674
3 Lengths Gain Last Furlong,-0.053771195680576735
AVERAGE 200,-0.0535058910921914
Lay EP Slow,0.05348875517503533
MGT <= -3,-0.05309514543960394
WEAK 400,-0.05290770141583574
Early Presser Profile,0.0517931096232087
GOOD 200,0.0506498987822561
WPP/**,0.0505166279539086
G*.1,0.050152124236679904
SLOW EARLY,-0.050141241216076916
Stretch Move 4,0.050023431563436555
SLOW SLOW PACE,-0.04977572087161426
S/NF***,-0.04873327212488284
Make up position Stretch <= -1,0.04819839839309118
UPC/E,0.04797572056511615
ACCELERATION,-0.04779948351235506
Last Race Shorter Distance,-0.04729676587429647
Fading Closer,0.0467257130693767
Elite Closer,0.046401834549204546
Collapse Closer,-0.04627523663326473
Class 1,-0.04627433816475672
Make up position Stretch >= 3,0.04618013059708318
FFA,-0.04591765221590947
STRONG 400,0.045810491383560005
GOOD 400_200,0.04561222441301575
TMP/*,0.04510054830655773
ELITE 400_200,0.04351899339683171
WPP/*.1,0.04335660076583395
TA,0.04328531358738879
Capable Surface,0.04232359067483474
UP CLASS,0.04188900084515223
G.2,0.041702858573536866
4 Lengths Gain Last Furlong,-0.04159491951311367
S/NN**,-0.0408998865224711
WPP/***,0.04053752782657606
TMP/**.1,-0.04001987303283718
3rd Up,0.03963571914116051
Lay E Slow,-0.03918272454310586
SM <= -2,0.03781981989688145
HL200,0.037361130481467296
NM/$$$,0.037342104868107344
