,Logistic Regression,XGBoost
Win Today,0.9941724941724942,0.9996114996114996
Place Today,0.9957264957264957,0.9992229992229992
Unplace Today,0.9957264957264957,0.9992229992229992
WIN NEXT START,0.6262626262626263,0.8908313908313908
WIN 2nd START,0.6048951048951049,0.9020979020979021
WIN 3rd START,0.6208236208236209,0.9036519036519036
WIN 4th START,0.6134421134421134,0.9106449106449106
PLACE NEXT START,0.608003108003108,0.6868686868686869
PLACE 2nd START,0.5909090909090909,0.696969696969697
PLACE 3rd START,0.5916860916860917,0.7167832167832168
PLACE 4th START,0.581973581973582,0.7362082362082362
