Feature 1,Feature 2,Interaction Score
Sustain Profile,Lost 2 Length Last Furlong,0.12049669
Capable Surface,Lost 2 Length Last Furlong,0.053329606
Middle Barrier,Sustain Profile,0.046594705
Outside Barrier,Capable Surface,0.04632743
Capable Distance,Capable Surface,0.038666524
Early Profile,Proven Surface,0.038402118
Capable Distance,Last Race Shorter Distance,0.03833591
Early Profile,Sustain Profile,0.037938666
Sustain Profile,Capable Class,0.036110915
Sprint,Last Race Shorter Distance,0.03564664
Body weight Optimal,Proven Class,0.035311624
Early Profile,Lost 2 Length Last Furlong,0.035006993
Outside Barrier,Last Race Longer Distance,0.034343205
Proven Surface,Capable Distance,0.032995176
Proven Surface,Capable Class,0.03297009
Proven Class,Proven Distance,0.02970939
Outside Barrier,2nd Up,0.029344771
Sustain Profile,Capable Distance,0.02911572
Body weight Optimal,Capable Class,0.028296784
Middle,Middle Barrier,0.02809286
Outside Barrier,Sustain Profile,0.02612222
4th Up,Proven Distance,0.026042176
Middle Barrier,Proven Surface,0.02571079
Proven Class,Proven Surface,0.02534081
Presser Profile,Proven Surface,0.025330849
Inside Barrier,Sustain Profile,0.025109805
Proven Class,Capable Surface,0.025103489
4th Up,Proven Class,0.024681743
Capable Surface,RECENCY 16-22,0.02447311
Capable Class,Capable Surface,0.024446955
2nd Up,Capable Surface,0.024169771
Body weight Optimal,Last Race Shorter Distance,0.024025336
Middle Barrier,Capable Surface,0.023543892
Outside Barrier,Capable Distance,0.023037896
Body weight Optimal,RECENCY 23-29,0.022239247
Inside Barrier,Capable Surface,0.02219523
Early Presser Profile,Body weight Optimal,0.022083763
Sustain Profile,Capable Surface,0.021794451
Presser Profile,Sustain Profile,0.021618655
Body weight Optimal,Proven Surface,0.02131315
Capable Surface,Last Race Longer Distance,0.021087319
Sustain Profile,Last Race Longer Distance,0.020971049
1st Up,Proven Distance,0.020969741
Proven Distance,Capable Class,0.020700667
Capable Class,UP CLASS,0.020660892
Middle Barrier,RECENCY 23-29,0.020648744
3rd Up,Proven Surface,0.020459305
Sustain Profile,Proven Distance,0.020167926
Proven Class,RECENCY 16-22,0.020116886
Proven Surface,UP CLASS,0.02009002
Sustain Profile,Proven Class,0.020065365
4th Up,RECENCY 23-29,0.019917097
Middle Barrier,Capable Distance,0.019767148
Outside Barrier,Last Race Shorter Distance,0.019735578
Early Presser Profile,Capable Surface,0.019613126
Proven Surface,RECENCY 16-22,0.019530885
Sustain Profile,Body weight Optimal,0.01945575
2nd Up,RECENCY 23-29,0.018923545
4th Up,Capable Class,0.018748181
Outside Barrier,Presser Profile,0.018686503
Proven Distance,Proven Surface,0.018529866
Outside Barrier,Body weight Optimal,0.018462319
Outside Barrier,RECENCY 16-22,0.018353065
Middle,Sustain Profile,0.018229503
Middle,Outside Barrier,0.018023673
Early Presser Profile,Capable Class,0.01799352
2nd Up,Proven Surface,0.01788169
Early Profile,Capable Surface,0.017749544
2nd Up,Last Race Shorter Distance,0.01772749
Middle Barrier,Proven Distance,0.01770799
RECENCY 23-29,Last Race Shorter Distance,0.017663032
Sprint,Body weight Optimal,0.017596576
Capable Distance,RECENCY 16-22,0.017588282
Sprint,Sustain Profile,0.017188862
Capable Surface,Last Race Shorter Distance,0.017183203
Proven Surface,Last Race Longer Distance,0.017147548
Presser Profile,Lost 2 Length Last Furlong,0.016995138
Middle Barrier,3rd Up,0.016979491
Inside Barrier,Capable Distance,0.016778529
Sprint,Capable Class,0.016775357
Proven Surface,RECENCY 30-37,0.016545378
Proven Class,Capable Distance,0.016539382
Sprint,Early Profile,0.016501796
Proven Surface,RECENCY 23-29,0.016383087
Middle Barrier,RECENCY 16-22,0.016301984
Middle Barrier,Proven Class,0.016277118
Inside Barrier,Proven Surface,0.016226523
Middle,Capable Surface,0.016006064
Body weight Optimal,Proven Distance,0.015897484
Middle Barrier,Last Race Longer Distance,0.015826322
Middle,Proven Distance,0.015748883
Body weight Optimal,Capable Surface,0.015740689
Early Presser Profile,Sustain Profile,0.015738377
Middle,Body weight Optimal,0.015734052
Sustain Profile,1st Up,0.015590939
Early Presser Profile,Capable Distance,0.015529169
Outside Barrier,Early Profile,0.015496417
Sprint,4th Up,0.015406379
Proven Class,Last Race Longer Distance,0.015266104
Middle Barrier,Last Race Shorter Distance,0.015158849
Inside Barrier,3rd Up,0.0150398025
Capable Class,Capable Distance,0.015021365
Middle,2nd Up,0.014793133
Early Profile,2nd Up,0.014732071
